scenario,source,NetCost_CNY,PurchaseCost_CNY,SaleRevenue_CNY,Carbon_tCO2,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,RenewableUtilization,MaxRegionalNetImport_MW,TotalVariation_MW,MeanRegionalNetGridStd_MW,scenario_group,is_nondominated,recommended_labels,PeakScore,Charge_MWh,RenewableCharge_MWh,GridCharge_MWh,Discharge_MWh,solver_status,solver_message
attachment_baseline,attachment,1801660137.891887,2231512487.706891,429852349.81500417,2045367.4764629998,4134366.1235669996,1375256.1823580002,7754925.747989001,0.32862252048581464,497.0016,,,,,,,,,,,,
economic_endpoint,endpoint,-419828538.98645777,0.0,419828538.98645777,0.0,0.0,1330267.7458259652,3703952.8620888195,0.6793327727949676,0.0,77831.44627956842,19.691871919370985,base,True,economic;renewable,0.0,2112.4461023491212,2112.4461023491212,0.0,31.597867090000022,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
grid_epsilon_25,epsilon,-329460592.0134876,0.0,329460592.0134876,0.0,0.0,1043148.9805653963,3991071.6130684265,0.6544756600877393,0.0,41326.27582956584,13.388261676286598,base,True,balanced,0.0,2112.460383310455,2112.460383310455,0.0,31.597867090000022,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
grid_epsilon_50,epsilon,-239092645.04051977,0.0,239092645.04051977,0.0,0.0,765942.030034875,4268278.6062913295,0.6304766511401731,0.0,13739.185008708131,7.586544729983761,base,True,,0.0,2112.4176909295074,2112.4176909295074,0.0,31.597867090000022,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
grid_epsilon_75,epsilon,-148724698.0675497,0.0,148724698.0675497,0.0,0.0,480754.933553678,4553465.69904083,0.6057867704446953,0.0,370.8706230536336,3.1741341456566787,base,True,,0.0,2112.421422625296,2112.421422625296,0.0,31.597867090000022,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
grid_endpoint,endpoint,-58356751.09458118,0.0,58356751.09458118,0.0,0.0,183624.63930088404,4850596.002848998,0.5800629142865957,0.0,1.001e-05,8.983826947938331e-08,base,True,grid_friendly,0.0,2112.4118672517116,2112.4118672517116,0.0,31.597867090000022,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
no_storage_reference,reference,-419820327.73930997,8215.445443400005,419828543.18475336,8.850562571909007,31.597867090000022,1330267.7685945297,3706065.2854226036,0.6791498911659757,31.597867090000022,77894.68755087764,19.701860759823997,base,False,,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,deterministic reference
