Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
direct_mean,2351,432.0,14134.0,14714.602040816328,23.811004031242128,45.85194935797013,0.727773718798401,1.343986205593349
rolling_336,2351,432.0,14134.0,14788.142857142859,23.87134865520282,45.95340827918584,0.7296181278511121,1.5142195767195772
rolling_168,2351,432.0,14134.0,15003.714285714286,24.017774470899468,45.84361708652815,0.7340935737532596,2.013227513227512
rolling_24,2351,432.0,14134.0,15176.999999999998,25.01234567901234,46.20934670598392,0.7644922409320314,2.4143518518518507
seasonal_weekly,2351,432.0,14134.0,16697.0,29.636574074074073,60.5823016876858,0.9058299136833168,5.93287037037037
seasonal_daily,2351,432.0,14134.0,15177.0,35.84953703703704,69.924877017596,1.0957266166690252,2.4143518518518516
