Model,Origins,MAE_mean,RMSE_mean,WAPE_mean,WAPE_std,Bias_mean
direct_mean,48,26.205378662842552,50.56883532715182,0.7633854449770968,0.04346242825591532,-0.48393258322228117
rolling_336,48,26.319464538323047,50.650263471570305,0.7667948369796708,0.044743200564498924,-0.17083471119929441
rolling_168,48,26.37694508744856,50.775764127701514,0.768467176381836,0.045066792521945766,-0.09653328924162241
rolling_24,48,26.72924302340535,51.55135259571824,0.778547008088237,0.048445398847078686,0.010464891975308746
seasonal_weekly,48,33.80555555555556,70.06918660150417,0.9854582211896928,0.07080821707870448,-0.24739583333333334
seasonal_daily,48,34.550491898148145,71.49787527095795,1.0071190726323254,0.07034644414164026,0.010464891975308671
