Stage,Scope,SourceRegion,TaskType,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias,AggregateName
validation,RegionTaskType,RegionF,RealTimeInference,24,23.0,19.979591836734695,1.4439484126984128,2.3214439896325842,1.5067287784679089,-0.12585034013605445,
validation,Region,,,24,1022.0,1320.3979591836733,40.091624149659864,44.76042208798705,0.9414862814010144,12.433248299319724,RegionA
validation,Region,,,24,1478.0,1264.2551020408164,40.02954931972789,57.054598628497914,0.6500062135815083,-8.906037414965985,RegionB
validation,Region,,,24,929.0,1110.265306122449,33.58886054421769,44.45691014598951,0.8677423606687024,7.552721088435372,RegionC
validation,Region,,,24,3937.0,4559.561224489797,66.54014314058956,83.88887199243773,0.4056295238440817,25.94005102040818,RegionD
validation,Region,,,24,3010.0,3229.428571428571,96.6031746031746,111.196529737324,0.7702578705900964,9.14285714285713,RegionE
validation,Region,,,24,3758.0,3230.6938775510207,73.41666666666667,104.79251777961339,0.46886641830761044,-21.971088435374146,RegionF
validation,System,,,24,14134.0,14714.602040816328,162.01806972789117,181.23713905425012,0.2751120470828773,24.191751700680317,
test,RegionTaskType,RegionA,AITraining,24,579.0,631.2222222222223,39.46720679012346,48.23046093464637,1.635946395445532,2.175925925925926,
test,RegionTaskType,RegionA,BatchInference,24,513.0,450.030303030303,15.020938552188554,20.602225756934118,0.7027339673538505,-2.6237373737373733,
test,RegionTaskType,RegionA,RealTimeInference,24,208.0,236.13131313131316,5.556467452300786,6.2326663494664,0.6411308598808598,1.1721380471380478,
test,RegionTaskType,RegionB,AITraining,24,722.0,624.5353535353536,36.58890993265993,43.66903932227834,1.2162518537172275,-4.061026936026937,
test,RegionTaskType,RegionB,BatchInference,24,527.0,441.8888888888889,13.875,19.138516521490036,0.6318785578747628,-3.5462962962962954,
test,RegionTaskType,RegionB,RealTimeInference,24,190.0,199.98989898989902,3.9998947811447816,4.966519517155388,0.5052498670919724,0.4162457912457918,
test,RegionTaskType,RegionC,AITraining,24,424.0,590.6565656565656,27.77290263748597,32.53113921895005,1.572051092687885,6.944023569023568,
test,RegionTaskType,RegionC,BatchInference,24,309.0,347.4848484848485,9.664877946127946,11.507853867252475,0.7506701317380928,1.6035353535353531,
test,RegionTaskType,RegionC,RealTimeInference,24,156.0,170.2929292929293,4.373141133557801,5.775349891362506,0.672790943624277,0.5955387205387207,
test,RegionTaskType,RegionD,AITraining,24,3626.0,4081.3838383838383,85.43108164983164,102.46593641524713,0.5654566904566903,18.9743265993266,
test,RegionTaskType,RegionD,BatchInference,24,537.0,452.060606060606,14.722011784511784,18.623727615131838,0.6579670071290182,-3.539141414141414,
test,RegionTaskType,RegionD,RealTimeInference,24,30.0,19.828282828282827,1.6630892255892256,2.456377693253251,1.3304713804713804,-0.4238215488215488,
test,RegionTaskType,RegionE,AITraining,24,4189.0,2907.181818181818,98.78061868686869,138.11841268379496,0.5659429096406895,-53.409090909090914,
test,RegionTaskType,RegionE,BatchInference,24,462.0,293.7979797979798,13.336139169472503,18.825215783773274,0.692786450362208,-7.008417508417509,
test,RegionTaskType,RegionE,RealTimeInference,24,31.0,26.232323232323232,1.747088945005612,2.1203915476999455,1.352584989681764,-0.19865319865319866,
test,RegionTaskType,RegionF,AITraining,24,4696.0,2943.909090909091,94.69570707070709,123.8602381727349,0.4839644313664757,-73.00378787878788,
test,RegionTaskType,RegionF,BatchInference,24,235.0,272.1010101010101,9.597923681257015,11.462460237913833,0.9802134823411419,1.5458754208754215,
test,RegionTaskType,RegionF,RealTimeInference,24,15.0,20.01010101010101,1.0418771043771045,1.5366478623959132,1.667003367003367,0.20875420875420872,
test,Region,,,24,1300.0,1317.3838383838383,43.9545805274972,57.84315175176788,0.811469178969179,0.7243265993265974,RegionA
test,Region,,,24,1439.0,1266.4141414141416,36.43893799102133,46.66638538947632,0.6077376732345461,-7.1910774410774385,RegionB
test,Region,,,24,889.0,1108.4343434343434,32.14944584736252,37.16251917905243,0.8679265470604055,9.143097643097645,RegionC
test,Region,,,24,4193.0,4553.272727272727,86.19823232323233,104.29188671917564,0.49338363361735654,15.011363636363633,RegionD
test,Region,,,24,4682.0,3227.212121212121,104.71654040404042,148.4690611024135,0.5367785069835477,-60.61616161616163,RegionE
test,Region,,,24,4946.0,3236.0202020202023,90.24957912457914,120.14339601812974,0.43792759785481183,-71.24915824915824,RegionF
test,System,,,24,17449.0,14708.737373737375,176.68164281705947,221.0538767476365,0.24301446659461443,-114.1776094276094,
