Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
rolling_168,1343,432.0,14990.0,15215.142857142857,25.64525462962963,51.73535036498014,0.739076050700467,0.521164021164022
rolling_336,1343,432.0,14990.0,14724.000000000002,25.55322696208113,51.74650453363964,0.7364238857651133,-0.6157407407407388
seasonal_daily,1343,432.0,14990.0,13542.0,33.541666666666664,70.05824296545987,0.9666444296197465,-3.3518518518518516
seasonal_weekly,1343,432.0,14990.0,15394.0,36.282407407407405,78.87821719681644,1.0456304202801867,0.9351851851851852
direct_mean,1367,432.0,15553.0,14638.456140350878,25.519557477799438,50.68980925645583,0.7088310184793517,-2.1169996751137097
rolling_24,1367,432.0,15553.0,14990.0,26.38715277777778,52.41989773943045,0.7329293383913071,-1.3032407407407418
rolling_168,1367,432.0,15553.0,15157.428571428572,25.774360670194003,50.40012960203065,0.7159084298542924,-0.9156746031746017
rolling_336,1367,432.0,15553.0,14714.142857142857,25.661596119929456,50.71364423599754,0.7127762826341879,-1.9417989417989414
seasonal_daily,1367,432.0,15553.0,14990.0,34.87268518518518,72.85629246572908,0.9686234167041728,-1.3032407407407407
seasonal_weekly,1367,432.0,15553.0,15909.0,33.138888888888886,69.40187584187022,0.9204655050472578,0.8240740740740741
direct_mean,1391,432.0,13222.0,14654.224137931033,23.276247871434652,41.74142459405611,0.7605006111374807,3.3153336526181354
rolling_24,1391,432.0,13222.0,15553.000000000002,24.57002314814815,43.32700385576279,0.8027718953259718,5.395833333333336
rolling_168,1391,432.0,13222.0,15106.571428571428,23.698522927689595,42.22400967021471,0.7742975272093409,4.362433862433861
rolling_336,1391,432.0,13222.0,14806.642857142857,23.458677799823633,41.84020037087899,0.7664611109910611,3.6681547619047623
seasonal_daily,1391,432.0,13222.0,15553.0,31.83101851851852,65.01707396836163,1.0400090757827862,5.395833333333333
seasonal_weekly,1391,432.0,13222.0,17265.0,31.8125,62.84506595441535,1.0394040235970352,9.358796296296296
direct_mean,1415,432.0,12337.0,14629.949152542373,23.61844462753714,41.453383757028554,0.8270380221363415,5.307752667922159
rolling_24,1415,432.0,12337.0,13222.0,22.60821759259259,40.83207670024047,0.7916632892923725,2.048611111111111
rolling_168,1415,432.0,12337.0,14529.0,23.77808090828924,41.45905697074679,0.8326279445879025,5.074074074074074
rolling_336,1415,432.0,12337.0,14754.214285714286,23.824115410052915,41.717871013993424,0.834239917090286,5.595403439153439
seasonal_daily,1415,432.0,12337.0,13222.0,29.92824074074074,58.00632548521149,1.0479857339709815,2.048611111111111
seasonal_weekly,1415,432.0,12337.0,14834.0,32.61805555555556,63.18269732087054,1.1421739482856448,5.780092592592593
direct_mean,1439,432.0,13553.0,14591.733333333335,26.09383359053498,45.781207548541396,0.8317373357272274,2.4044753086419752
rolling_24,1439,432.0,13553.0,12337.0,24.99054783950617,45.10491991074057,0.7965702550480828,-2.8148148148148158
rolling_168,1439,432.0,13553.0,14172.285714285714,25.939180996472665,45.66789328135654,0.8268078056870206,1.4335317460317454
rolling_336,1439,432.0,13553.0,14606.357142857145,26.156608245149915,45.91998684814235,0.8337382691584714,2.438326719576721
seasonal_daily,1439,432.0,13553.0,12337.0,31.77314814814815,60.09544877079264,1.012764701542094,-2.814814814814815
seasonal_weekly,1439,432.0,13553.0,13433.0,31.37037037037037,62.76263337486843,0.9999262155980225,-0.2777777777777778
direct_mean,1463,432.0,14668.0,14574.704918032787,25.345536708156242,47.52124902789937,0.746473401821891,-0.21596083788706746
rolling_24,1463,432.0,14668.0,13553.0,25.582175925925927,47.84938210735386,0.7534428688301064,-2.5810185185185173
rolling_168,1463,432.0,14668.0,14189.428571428572,25.393490961199294,47.76055668717951,0.7478857441531289,-1.1078042328042326
rolling_336,1463,432.0,14668.0,14492.999999999998,25.376846340388006,47.51952531003087,0.7473955289778851,-0.4050925925925934
seasonal_daily,1463,432.0,14668.0,13553.0,33.50231481481482,61.00240963668141,0.9867057540223616,-2.5810185185185186
seasonal_weekly,1463,432.0,14668.0,16129.0,36.761574074074076,72.76959771671032,1.0826970275429506,3.3819444444444446
direct_mean,1487,432.0,16211.0,14576.209677419354,27.344692727001195,58.65088972142764,0.7286970117861031,-3.7842368578255683
